bodyId,bodyExplanation
下丘脑,位于间脑基底部，重约4g功能：分泌释放激素（如TRH、GnRH）和抑制激素，通过垂体门脉系统调控垂体前叶调控机制：神经-内分泌整合中枢
垂体,1、腺垂体（前叶）：分泌：GH、TSH、ACTH、FSH、LH、PRL 2、神经垂体（后叶）：储存/释放：ADH（加压素）、催产素调控：男女ADH分泌机制相同
松果体,分泌：褪黑素（昼夜节律调节）最新发现：含生殖活性物质（AVP、GnRH）男女差异：青春期前钙化程度无显著差异
甲状腺,泡细胞：T3/T4（代谢调节）C细胞：降钙素（钙磷代谢）
睾丸,Leydig细胞：睾酮（日分泌4-9mg） Sertoli细胞：ABP、抑制素 调控：LH刺激睾酮分泌，FSH维持生精 疾病特征：睾丸癌高发年龄15-35岁
肾上腺,1、皮质： 球状带：醛固酮（盐皮质激素） 束状带：皮质醇（糖皮质激素） 网状带：DHEA（性激素前体） 2、髓质： 肾上腺素/去甲肾上腺素 
胰腺,胰岛细胞： α细胞：胰高血糖素 β细胞：胰岛素 δ细胞：生长抑素 男女差异：男性更易出现中心性肥胖相关的胰岛素抵抗
会厌,位置：喉入口处（C3-C4水平） 结构：弹性软骨构成，呈叶片状 功能：吞咽时关闭喉口（0.3-0.5秒）
喉部_气管_支气管,1、喉部： 软骨框架：甲状软骨（喉结）、环状软骨、杓状软骨 声门裂：成人前后径约23mm，横径27mm 2、气管： C形软骨环（16-20个），后壁为膜性部 长度：成年男性10-12cm，女性稍短1-2cm 3、支气管： 右主支气管：较粗短（2.5cm），与气管成25°角 左主支气管：较细长（5cm），与气管成45°角
肺,1、分叶： 右肺：上、中、下三叶（10个支气管肺段） 左肺：上、下两叶（8-9个支气管肺段） 2、微结构： 呼吸性细支气管→肺泡管→肺泡囊（约3亿个肺泡） 气血屏障：0.2-0.5μm厚
膈肌,1、起止点： 胸骨部：剑突后面 肋部：第7-12肋内面 腰部：L1-L3椎体 2、中心腱：三叶状纤维膜 3、膈脚：右侧达L3，左侧达L2
呼吸肌,1、主要吸气肌： 膈肌（贡献70%通气量） 肋间外肌（提升肋骨） 2、辅助吸气肌： 斜角肌（固定第1-2肋） 胸锁乳突肌（提升胸骨） 3、呼气肌： 腹肌（主动呼气时收缩） 肋间内肌（降肋）
心脏,1、位置：中纵隔内（T5-T8水平） 2、腔室： 右心房：接收上下腔静脉血（容量约120ml） 右心室：壁厚3-5mm，泵血至肺动脉 左心房：接收肺静脉血（4条） 左心室：壁厚11-14mm，泵血至主动脉 3、瓣膜： 房室瓣：三尖瓣（右）、二尖瓣（左） 半月瓣：肺动脉瓣、主动脉瓣
肺部循环,1、肺动脉：唯一含缺氧血的动脉 右肺动脉长5cm，左肺动脉3cm 2、肺毛细血管网：总面积约70m2 3、肺静脉：唯一含氧合血的静脉
动脉系统,1、弹性动脉（传导血管）： 主动脉：升部（5cm）、弓部、降部 主要分支：头臂干、左颈总动脉、左锁骨下动脉 2、肌性动脉（分配血管）： 管径1-10mm（如桡动脉、股动脉） 中膜含10-40层平滑肌
静脉系统,1、深静脉：与动脉伴行（如股静脉） 2、浅静脉：独立走行（如大隐静脉） 3、特殊结构： 静脉瓣（四肢静脉每2-4cm一对） 硬脑膜窦（无瓣膜）
