id,parent,introduce,iconName
氨基酸测定,请进入更衣室穿戴安全防护用品。,,
氨基酸测定,请进入氨基酸测定室开始实验。,,
氨基酸测定,参照试剂盒说明，将1mLAccQ-TagUltra稀释剂置于装有AccQ-TagUltra衍生剂粉末的2A瓶中，加盖密封短暂涡旋震荡静置1min，，加热2A瓶至AccQ-TagUltra衍生剂粉末全部溶解。,,
氨基酸测定,参照试剂盒说明，分别吸取80μLBorateBuffer和20μLAccQ-TagUltra衍生剂（6-氨基喹啉基-N-羟基琥珀酰亚胺基氨基甲酸酯）至6mm×50mm衍生管种短暂涡旋震荡，即空白衍生剂,,
氨基酸测定,取40μL水解氨基酸标样置于进样瓶中，加入960μL超纯水，混匀。标准品浓度为250pmol/μL。,,
氨基酸测定,吸取10μL氨基酸标准溶液、70μL硼酸缓冲液、20μL衍生试剂至样品管中，室温静置1min。,,
氨基酸测定,使用恒温水浴锅对标准品进行水浴加热。,,
氨基酸测定,选取选取固体样品，用球磨机进行粉碎。,,
氨基酸测定,用实验室台秤称取均匀性比较好样品，重量为2克，并且放入水解管中。,,
氨基酸测定,"根据试样的蛋白质含量,在水解管内加10mL~15mL6mol/L盐酸溶液。对于含水量高、蛋白质含量低的试样,如饮料、水果、蔬菜等,可先加入约相同体积的盐酸混匀后,再用6mol/L盐酸溶液补充至大约10mL。继续向水解管内加入苯酚3滴~4滴。",,
氨基酸测定,"将水解管放入冷冻剂中,冷冻3min~5min,接到真空泵的抽气管上,抽真空(接近0Pa),然后充入氮气,重复抽真空-充入氮气3次后,在充氮气状态下封口或拧紧螺丝盖。",,
氨基酸测定,"请前往高温室，将已封口的水解管放在110°C±1°C的电热鼓风恒温箱中，水解22h后,取出,冷却至室温。",,
氨基酸测定,"打开水解管,将水解液过滤至50mL容量瓶内,用少量水多次冲洗水解管,水洗液移入同一50mL容量瓶内,最后用水定容至刻度,振荡混匀。",,
氨基酸测定,准确吸取1.0mL滤液移入到15mL或25mL试管内。,,
氨基酸测定,"用试管浓缩仪或平行蒸发仪在40°C~50°C加热环境下减压干燥,干燥后残留物用1mL~2mL水溶解,再减压干燥,最后蒸干。",,
氨基酸测定,"用1.0mL~2.0mLpH2.2柠檬酸钠缓冲溶液加入到干燥后试管内溶解,振荡混匀后,吸取溶液通过0.22μm滤膜后,转移至仪器进样瓶,待衍生化。",,
氨基酸测定,吸取10μL经0．22μm滤膜过滤的样品溶液、70μL硼酸缓冲液至样品管中，加入20μL衍生试剂至样品管中，室温放置1min。,,
氨基酸测定,使用恒温水浴锅对标准品进行水浴加热。,,
氨基酸测定,将衍生之后的样品溶液加入到进样瓶中，用作检测实验”,,
氨基酸测定,从上到下依次打开液相色谱仪各模块，分别为溶剂脱气模块、泵模块、自动进样模块、柱温箱模块和检测器模块，点击左下方的电源开关,,
氨基酸测定,"打开电脑。单击电脑桌面上的工作站图标,启动工作站软件,弹出工作站窗口。",,
氨基酸测定,将进样瓶放入到进样器中，等待开始检测。,,
氨基酸测定,点击液相色谱仪上的顺时针打开排气阀，进行排气准备。,,
氨基酸测定,,,
氨基酸测定,,,
氨基酸测定,,,
氨基酸测定,,,
