id,parent,introduce,iconName
0,打开更衣室门,,
1,请进入更衣室穿戴安全防护用品。,,
2,请前往重金属实验室,,
3,点击“固体样品”，将固体样品盖打开,,
4,下一步：点击“研磨机”，对固体样品进行粉碎。,,
5,下一步：点击“研磨机”，将使用过的设备放置清洗台处方便清洗。,,
6,下一步：点击“实验台秤”，将粉碎过的样品进行称重,,
7,下一步：点击“消解罐”，将称过的样品放进消解罐中，注意使用前检查消解罐是否干净，样品装进罐后检查样品有无挂在消解罐内壁上。,,
8,下一步：请前往通风厨房内进行加酸。       点击“硝酸”，将硝酸加入消解罐，并进行封盖,,
9,下一步：请前往微波消解仪处，进行微波消解操作。        点击“微波消解仪”，检查仪器状况 ,,
10,下一步：点击“消解罐”，  将 "消解罐 " 对称放入微波消解转中进行消解,,
11,下一步：点击屏幕 设置好"温度"与 "时间" ，并启动设备开始运行,,
12,下一步：点击“微波消解仪”，等仪器安全停止后   将消解转一并取出并放置在架子上冷却,,
13,"下一步：请前往通风厨,    点击“消解罐”，将消解罐打开放入赶酸仪赶酸， 注意打开消解罐时应避免朝向自己与他人，防止内部溶液溅出",,
14,下一步：点击“实验盘”，把实验器械移置跟前，取出已完成的消解罐并转移置容量瓶进行50ml2%的硝酸定容,,
15,下一步：请前往原子吸收分光光度室,,
16,下一步：点击“光谱仪”，开始仪器使用前的调试,,
17,下一步：请前往气瓶间内打开"氦气阀门" ,,
18,打开"氦气阀门",,
19,"返回重金属实验室,回到原子吸收分光光度室，根据“指引提示”，按步骤打开冷却水开关，及电源开关",,
20,下一步：打开 "电脑"  移置电脑前操作,,
21,请点击“软件”，弹出软件界面操作,,
22,点击“鼠标”，进行进样针校准,,
23, 请点击标题栏“进样”板块,,
24,点击“溶液”，在对应位置加上样品溶液,,
25,请到”概述“下进行”方法名称命名”并开始“OK”启动,,
26,点击“鼠标”，自动进样器开始吸取刚刚设置好的基体改进剂和样品溶液并输送到石墨管中,,
27,请点击：“分析”,,
28,点击'打印按扭"，将分析好的结果打印出来,,
