id,parent,introduce,iconName
0,打开更衣室门,,打开更衣室
1,请进入更衣室穿戴安全防护用品。,,穿戴安全防护用品
2,前往天平室。,,前往天平室
3,点击“研锤”，将硬糖样本用研磨棒研磨成粉末。,,样品研磨
4,点击“分析天平”，分析天平开机，并且进行预热20分钟，,,天平开机预热
5,点击“称量纸”，将称量纸放到天平内，用勺子将其粉末状样品转移至称量纸上进行称量5g，称量完毕之后将粉末样品放入烧杯中。,,样品称量
6,请前往还原糖测定室进行实验。,,前往原糖测定室
7,点击“蒸馏水溶液”，向烧杯中加入50ml蒸馏水，并且用玻璃棒搅拌均匀使其充分溶解。,,样品加水溶解
8,点击“容量瓶”，打开容量瓶盖子，将烧杯中的硬糖水溶液样品转移至250ml容量瓶中。,,样品转移至容量瓶
9,点击“烧杯”，用蒸馏水对烧杯和玻璃棒进行润洗2-3次,,烧杯玻璃棒润洗
10,点击“乙酸锌溶液”，移液管吸取5ml乙酸锌溶液转移至250ml容量瓶中。,,加入乙酸锌溶液
11,点击“亚铁氰化钾溶液”移液管吸取5ml亚铁氰化钾溶液转移至250ml容量瓶中。,,加入亚铁氰化钾溶液
12,点击“蒸馏水溶液”，加蒸馏水至容量瓶刻度线，再静置30分钟。,,定容
13,点击“漏斗”，将漏斗放到过滤装置上面，用干燥纸过滤，弃去初滤液，取出后续滤液备用。,,过滤
14,"点击“移液管”，用移液管吸取碱性酒石酸铜甲液5.0mL和碱性酒石酸铜乙液5.0mL,于150mL锥形瓶中,",,加入甲乙液
15,"点击“玻璃量筒”,用量筒量取10ml蒸馏水加入到150ml锥形瓶中。",,加入蒸馏水
16,点击“烧杯”，往锥形瓶中加入3粒玻璃珠，避免溶液因局部过热突然剧烈沸腾。,,加入玻璃珠
17,点击“葡萄糖标准溶液”，向酸式滴定管内加入9ml葡萄糖标准溶液。,,加入葡萄糖标液
18,"点击“电炉开关”，打开电炉，控制在2min内加热至沸,保持沸佛腾以先快后慢的速度,从滴定管中滴加试样溶液,并保持沸腾状态,待溶液颜色变浅时,以1滴/2s的速度滴定,直至溶液蓝色刚好褪去为终点。",,加热滴定
19,点击“酸式滴定管”，取下酸式滴定管，读取酸式滴定管刻度。,,读取刻度
20,"点击“SM_实验记录本”，,记录消耗葡萄糖标准溶液的总体积，同时平行操作3份，取其平均值。",,记录数据
21,"点击“移液管”，用移液管吸取碱性酒石酸铜甲液5.0mL和碱性酒石酸铜乙液5.0mL,于150mL锥形瓶中,",,加入甲乙液
22,"点击“玻璃量筒”,用量筒量取10ml蒸馏水加入到150ml锥形瓶中。",,加入蒸馏水
23,点击“烧杯”，往锥形瓶中加入3粒玻璃珠，避免溶液因局部过热突然剧烈沸腾。,,加入玻璃珠
24,点击“烧杯”，向酸式滴定管内加入待测硬糖样品溶液。,,加入样品溶液
25,"点击“电炉开关”，打开电炉，控制在2min内加热至沸,保持沸佛腾以先快后慢的速度,从滴定管中滴加试样溶液,并保持沸腾状态,待溶液颜色变浅时,以1滴/2s的速度滴定,直至溶液蓝色刚好褪去为终点。",,加热滴定
26,点击“酸式滴定管”，取下酸式滴定管，读取酸式滴定管刻度。,,读取刻度
27,点击“实验记录本”，记录硬糖样品溶液的消耗体积,,记录数据
28,"点击“移液管”，用移液管吸取碱性酒石酸铜甲液5.0mL和碱性酒石酸铜乙液5.0mL,置于150mL锥形瓶中,",,加入甲乙液
29,"点击“玻璃量筒”,用量筒量取10ml蒸馏水加入到150ml锥形瓶中。",,加入蒸馏水
30,点击“烧杯”，往锥形瓶中加入3粒玻璃珠，避免溶液因局部过热突然剧烈沸腾。,,加入玻璃珠
31,点击“烧杯”，向酸式滴定管内加入待测硬糖样品溶液。,,加入样品溶液
32,"点击“电炉开关”，打开电炉，控制在2min内加热至沸,保持沸佛腾以先快后慢的速度,从滴定管中滴加试样溶液,并保持沸腾状态,待溶液颜色变浅时,以1滴/2s的速度滴定,直至溶液蓝色刚好褪去为终点。",,加热滴定
33,点击“酸式滴定管”，取下酸式滴定管，读取酸式滴定管刻度。,,读取刻度
34,点击“实验记录本”，记录硬糖样品溶液的消耗体积，同中方法平行操作三份，得出平均消耗体积,,记录数据
35,计算出硬糖中还原糖含量,,计算出硬糖中还原糖含量
