id,parent,introduce,iconName
0,打开更衣室门,,
1,请进入更衣室穿戴安全防护用品。,,
2,打开蛋白质测定实验室门,,
3,请前往"样品前处理室"，点击"实验室台秤"进行称量。,,
4,点击“试管瓶”，将样品放入对应的试管瓶里。,,
5,点击“硫酸钾”，将称好硫酸铜硫酸钾移入定氮瓶。,,
6,点击“浓硫酸”，将量好20mL硫酸移入定氮瓶,,
7,请前往“蛋白质测定室“，点击“电炉”，将指示剂移动到消解器上。,,
8,点击“容量瓶”，进行下一步升温消解。,,
9,点击“容量瓶”，关闭消解器开关，放在指定地方冷却。,,
10,点击“试管”，将放冷后的定氮瓶里加入20mL水。,,
11,点击“容量瓶”，将定氮瓶里的液体转入容量瓶里。,,
12,点击“容量瓶”，在锥形瓶里加入三分之二的蒸馏水和数滴甲基红液体、浓硫酸、玻璃珠等。,,
13,点击“锥形瓶”，凯氏定氮法手动法器材安装及液体配置。,,
14,点击“小号锥形瓶”，将10ml硼酸溶液加入接受瓶里。,,
15,点击“凯式定氮仪”，将样品添加至反应室。,,
16,点击“小号锥形瓶”，打开加热装置，进行蒸馏。,,
17,点击“小号锥形瓶”，蒸馏结束后，用少量水冲洗冷凝管下端外部。,,
18,点击“酸式滴定管”，用硫酸或盐酸滴定溶液滴定至终点。,,
19,点击“止水夹子”，用蒸馏水清洗反应室。,,
