id,parent,introduce,iconName
0,打开更衣室门,,
1,请进入更衣室穿戴安全防护用品。,,
2,打开蛋白质测定实验室门,,
3,请前往"样品前处理室"，点击"实验室台秤"进行称量。,,
4,点击“试管瓶”，将样品放入对应的试管瓶里。,,
5,点击“硫酸钾”，将称好硫酸铜硫酸钾移入定氮瓶。,,
6,点击“浓硫酸”，将量好20mL硫酸移入定氮瓶,,
7,请前往“蛋白质测定室“，点击“电炉”，将指示剂移动到消解器上。,,
8,点击“容量瓶”，进行下一步升温消解。,,
9,点击“容量瓶”，关闭消解器开关，放在指定地方冷却。,,
10,点击“试管”，将放冷后的定氮瓶里加入20mL水。,,
11,点击“容量瓶”，将定氮瓶里的液体转入容量瓶里。,,
12,点击“SM_NaOH溶液”，将各试剂填充到相应的溶液桶。,,
13,点击“定氮仪防护门”，预热仪器。,,
14,点击“定氮仪”，进入参数设置界面，进行相关参数设置,,
15,点击“三角瓶”，进行酸式滴定操作,,
16,点击“滴定管”，读取滴定管上数据并做好记录 ,,
17,点击“自动凯氏定氮仪”，用相应的公式计算样品含量，清洗仪器,,
